elitmus_id,user_id,question_result_id,question_id,skipped,answered,correct,seconds_taken,avg_time
4822695,94315,6907531,354,0,true,false,75,147.71
4822695,94315,6907532,355,1,,false,109,98.5097
4822695,94315,6907533,357,0,true,false,65,150.475
4822695,94315,6907534,356,0,true,true,22,87.6549
4822695,94315,6907535,351,1,,false,3,71.2913
4822695,94315,6907536,353,0,true,true,13,58.4379
4822695,94315,6907537,358,0,true,true,5,45.1268
4822695,94315,6907538,360,1,,false,78,48.6399
4822695,94315,6907539,359,0,,false,5,37.2567
4822695,94315,6907540,352,0,,false,0,32.3868
4822695,94315,6939861,3068,5,true,true,5823,1061.11
4822695,94315,6939862,3070,5,true,true,5934,910.931
4822695,94315,6939863,3072,4,true,false,5284,971.081
4822695,94315,6939864,3074,4,true,true,5903,940.973
4822695,94315,6939865,3073,6,,false,10484,1125.02
4822695,94315,6939866,3081,3,true,true,7461,992.984
4822695,94315,6939867,3079,5,,false,10261,1052.19
4822695,94315,6939868,3064,3,true,false,7240,1002.18
4822695,94315,6939869,3065,3,true,true,12242,966.452
4822695,94315,6939870,3071,3,,false,4435,1002.51
4822695,94315,6939871,3078,6,true,true,11273,935.495
4822695,94315,6939872,3077,5,true,true,7772,1070.67
4822695,94315,6939873,3067,4,true,true,6911,869.198
4822695,94315,6939874,3082,4,true,false,6935,977.072
4822695,94315,6939875,3066,5,true,false,7530,998.892
4822695,94315,6939876,3080,4,true,true,6878,1002.92
4822695,94315,6939877,3069,7,,false,14306,1045.46
4822695,94315,6939878,3075,7,true,false,11457,926.952
4822695,94315,6939879,3063,4,true,false,6882,945.144
4822695,94315,6939880,3076,4,true,true,7036,1042.76
4822695,94315,6939881,3088,3,true,true,3544,1096.91
4822695,94315,6939882,3089,2,true,false,2934,959.082
4822695,94315,6939883,3090,3,true,false,4234,881.958
4822695,94315,6939884,3087,5,true,false,6983,1109.93
4822695,94315,6939885,3100,1,true,false,3425,877.46
4822695,94315,6939886,3101,1,true,true,1011,908.007
4822695,94315,6939887,3102,3,true,false,3859,866.029
4822695,94315,6939888,3099,13,,false,34014,922.333
4822695,94315,6939889,3083,3,,false,8381,1024.99
4822695,94315,6939890,3084,1,,false,668,1132.51
4822695,94315,6939891,3086,2,,false,3740,910.089
4822695,94315,6939892,3085,3,,false,8721,1037.39
4822695,94315,6939893,3097,5,,false,13898,1195.1
4822695,94315,6939894,3096,4,,false,13741,1033.86
4822695,94315,6939895,3095,4,,false,13751,1110.68
4822695,94315,6939896,3098,4,,false,13785,1104.76
4822695,94315,6939897,3094,6,,false,19472,1139.91
4822695,94315,6939898,3092,6,,false,22608,881.786
4822695,94315,6939899,3091,2,,false,6591,869.394
4822695,94315,6939900,3093,4,,false,14614,860.281
4822695,94315,6939901,3116,5,true,true,22727,866.8
4822695,94315,6939902,3117,5,true,true,18402,975.691
4822695,94315,6939903,3115,6,true,true,19216,1009.74
4822695,94315,6939904,3118,9,true,true,29151,995.987
4822695,94315,6939905,3111,9,true,true,31842,1010.64
4822695,94315,6939906,3112,6,true,true,24685,894.347
4822695,94315,6939907,3113,7,true,true,19683,827.485
4822695,94315,6939908,3114,6,true,true,22580,836.09
4822695,94315,6939909,3121,7,true,true,21883,895.782
4822695,94315,6939910,3120,8,true,true,23987,893.928
4822695,94315,6939911,3119,6,true,true,21295,862.083
4822695,94315,6939912,3122,6,true,true,18588,877.916
4822695,94315,6939913,3109,4,true,false,4331,856.164
4822695,94315,6939914,3110,3,true,true,4843,961.836
4822695,94315,6939915,3108,3,true,false,3730,865.818
4822695,94315,6939916,3107,3,true,true,6005,828.868
4822695,94315,6939917,3106,2,true,true,3711,822.699
4822695,94315,6939918,3105,3,true,true,5429,786.798
4822695,94315,6939919,3103,2,true,true,3973,761.475
4822695,94315,6939920,3104,4,,false,8017,721.719
4822695,94315,7320681,4577,2,true,false,106,87.9735
4822695,94315,7320682,4576,0,true,false,276,96.5503
4822695,94315,7320683,4563,1,true,false,183,93.5635
4822695,94315,7320684,4566,0,true,true,272,138.897
4822695,94315,7320685,4559,0,true,true,272,72.0423
4822695,94315,7320686,4562,0,true,true,507,86.4101
4822695,94315,7320687,4564,1,true,false,186,108.587
4822695,94315,7320688,4565,1,true,false,16,78.5238
4822695,94315,7320689,4575,1,true,false,265,117.413
4822695,94315,7320690,4572,0,true,true,328,82.6534
4822695,94315,7320691,4568,1,true,false,285,81.5291
4822695,94315,7320692,4578,2,true,false,156,128.267
4822695,94315,7320693,4574,1,true,true,41,99.537
